ticket_id,description,category,priority
23,Urgent: There is a glitches when I access the feature. This is preventing progress. Sent from my mobile device.,Technical,High
24,Why is there a discrepancy in the summary? It says ref 99 but the amount is different. Production is impacted.,Billing,Medium
25,My account was denied last night. I also have a question about security settings. Sorry for the trouble.,Billing,Medium
26,Query: The dashboard is showing inconsistencies. I was trying to sync but it just stops working. Thanks for the help. Sent from my iPhone. Sorry for the trouble.,Technical,Medium
27,I was expecting a confirmation but I received a notification about flagged. Production is impacted.,Billing,Medium
28,Routine: I am having trouble with keys when I try to view logs. Hope you're having a good day.,Account,Medium
29,Routine: Why is there a discrepancy in the statement? It says TXN-101 but the amount is diferent. This is blocking my work.,Billing,Medium
30,BLOCKER: The interface is showing inconsistencies. I was trying to proceed but it just glitches. Thanks for the help.,Technical,Critical
31,The MFA settings are degraded. I need to modify my security settings. Production is impacted.,Account,Low
32,BLOCKER: My transfer was stuck last night. I also have a question about login information. Thanks for the help.,Billing,Critical
33,The statement from the weekend seems not what I agreed to. I checked the details and it looks okay. Hope you're having a good day.,Billing,Low
34,ASAP: How do I reset the email system? I am not seeing any updates. This is blocking my work. Best regards. Sorry for the trouble.,Account,High
35,I was expecting a confirmation but I received a notification abuot denied. Urgent attention needed.,Billing,Critical
36,I was expecting a PDF file but I received a notification about flagged. Production is impacted. Sent from my iPhone. Hope you're having a good day.,Billing,Low
37,How do I reset the message system? I am not seeing any updates. This is blocking my work.,Account,High
38,Minor: The MFA settings are showing inconsistencies. I need to review my profile data. Urgent attention needed. Hope you're having a good day. Thanks for the help.,Account,Low
39,Update: There is a stops working when I sync. This is a major issue. Sent from my Android.,Technical,Medium
40,ASAP: The update profile level is insufficient for my login information. It keeps glitches. Best regards.,Account,High
41,No hurry: The sign in level is insufficient for my contact email. It keeps glitches. Sent from my iPhone.,Account,Low
42,There is a stops working when I proceed. This is preventing progress. Sent from my iOS.,Technical,Critical
43,HELP FAST: There is a glitches when I upload data. This is a major issue. Sent from my client app.,Technical,Critical
44,HELP FAST: The module is acting strange. I was trying to submit but it just stops working. Best regards.,Technical,Critical
45,HELP FAST: The plan process did not behave as expected and not what I agreed to. Sent from my iPhone.,Billing,Critical
46,Needs checking: Getting a unexpected response in the side section. This happened after my last login. Need this fixed soon.,Technical,High
47,The add-on process did not behave as expected and unusually high. Hope you're having a good day.,Billing,High
48,Follow up: My card was not going through last night. I also have a question about profile data. Sorry for the trouble. Thanks for the help. Hope you're having a good day.,Billing,Medium
49,I am having trouble with password credentials when I try to update prfile. Sorry for the trouble.,Account,Low
50,"Question: My login information is showing as inactive. Also, the settings area feels degraded. Best regards. Sent from my iPhone. Sorry for the trouble.",Account,Medium
51,NOW: My account was denied last night. I also have a question about security settings. Sorry for the trouble.,Billing,Critical
52,I was expecting a PDF file but I received a notification about not going through. Production is impacted. Thanks for the help. Sent from my iPhone.,Billing,Medium
53,Why is there a discrepancy in the invoice? It says INV-202 but the amount is different. It's a critical blocker. Best regards. Sorry for the trouble.,Billing,Low
54,CRITICAL: The add-on process did not behave as expected and not what I agreed to. Sent from my iPhone.,Billing,Critical
55,Question: There is a returns an error when I submit. This is frustrating. Sent from my Android.,Technical,Medium
56,"CRITICAL: I noticed the profile panel is behaving unexpectedly on client app. Also, and check my refund. Sorry for the trouble.",Technical,Critical
57,HELP FAST: How do I modify the message system? I am not seeing any updates. This is blocking my work.,Account,Critical
58,The module is acting strange. I was trying to submit but it just fails to complete. Sent from my iPhone.,Technical,High
59,Maybe later: The system is not loading properly. I was trying to save changes but it just returns an error. Thanks for the help.,Technical,Low
60,FYI: My PayPal was flagged last night. I also have a question about profile data. Sorry for the trouble.,Billing,Low
61,I was expecting a receipt but I received a notification about not going through. This is blocking my wrok.,Billing,Medium
62,"Suggestion: I noticed the settings area is showing inconsistencies on mobile device. Also, but I have a billing question. Sorry for the trouble.",Technical,Low
63,By Monday: The update profile level is insufficient for my security settings. It keeps returns an error. Hope yu're having a good day.,Account,High
64,"Minor: My contact email is under review. Also, the profile panel feels degraded. Best regards.",Account,Low
65,Update: My card was flagged last night. I also have a question about profile data. Sent from my iPhone.,Billing,Medium
66,IMMEDIATELY: I am having trouble with keys when I try to view logs. Thanks for the help.,Account,Critical
67,Miinor: The auth settings are acting strange. I need to check my contact email. Urgent attention needed.,Account,Low
68,Update: How do I check the email system? I am not seeing any updates. This is blocking my work.,Account,Medium
69,HELP FAST: I am having trouble with login when I try to view logs. Thanks for the help. Best regards. Sent from my iPhone.,Account,Critical
70,The file is not appeaing as expected in the portal. Can you check the mobile device logs? Urgent attention needed.,Technical,Critical
71,Getting a generic error in the profile panel. This happened after the weekend. This is blocking my work.,Technical,Medium
72,"Important: I noticed the main view is acting strange on mobile device. Also, and the invice is wrong. Sent from my iPhone.",Technical,High
73,FYI: The summary from this morning seems higher than expected. I checked the address and it looks okay. Sent from my iPhone.,Billing,Low
74,Update: I was expecting a PDF file but I received a notification about denied. Urgent attention needed.,Billing,Medium
75,HELP FAST: The verification settings are not loading properly. I need to review my contact email. Need this fixed soon.,Account,Critical
76,Query: Getting a handshake failure in the main view. This happened after the last update. This is blocking my work. Thanks for the help. Best regards.,Technical,Medium
77,The entry is not appearing as expected in the interface. Can you check the web browser logs? It's a critical blocker.,Technical,Low
78,Question: The portal is acting strange. I was trying to save changes but it just fails to complete. Sent from my iPhone.,Technical,Medium
79,Why is there a discrepancy in the latest charge? It says TXN-101 but the amount is different. Production is impacted. Sorry for the trouble. Sent from my iPhone.,Billing,Critical
80,"Follow up: I noticed the profile panel is behaving unexpectedly on Android. Also, and the invoice is wrong. Sorry for the trouble.",Technical,Medium
81,ASAP: I am having trouble with password credentials when I try to sign in. Sent from my iPhone. Best regards. Sent from my iPhone.,Account,High
82,My account was not going through last night. I also have a question about profile data. Hope you're having a good day.,Billing,Critical
83,Suggestion: There is a hangs when I upload data. This is very annoying. Sent from my web browser.,Technical,Low
84,Suggestion: The interface is showing inconsistencies. I was trying to save changes but it just hangs. Thanks for the help. Thanks for the help. Best regards.,Technical,Low
85,Important: Why is there a discrepancy in the summary?? It says INV-202 but the amount is different. Urgent attention needed.,Billing,High
86,Maybe later: The data entry is not appearing as expected in the gateway. Can you check the mobile device logs? Production is impacted. Best regards. Sent from my iPhone.,Technical,Low
87,NOW: There is a fails to complete when I sync. This is a major issue. Sent from my desktop.,Technical,Critical
88,"By Monday: I noticed the side section is degraded on iOS. Also, and check my refund. Best regards.",Technical,High
89,"Suggestion: My security settings is not accessible. Also, the main view feels behaving unexpectedly. Sent from my iPhone.",Account,Low
90,Suggestion: Getting a unexpected response in the settings area. This happened after the last update. This is blocking my work.,Technical,Low
91,I was expecting a email notification but I received a notification about not going through. Urgent attention needed.,Billing,Medium
92,The dashboard is behaving unexpectedly. I was trying to submit but it just glitches. Hope you're having a good day. Best regards. Hope you're having a good day.,Technical,Critical
93,There is a glitches when I save changes. This is preventing progress. Sent from my iOS. Sorrry for the trouble. Sent from my iPhone.,Technical,Medium
94,Maybe later: The sign in level is insufficient for my security settings. It keeps glitches. Thanks for the help.,Account,Low
95,ASAP: How do I modify the email system? I am not seeing any updates. Urgent attention needed.,Account,High
96,IMMEDIATELY: My transfer was flagged last night. I also have a question about contact email. Sorry for the trouble.,Billing,Critical
97,The change settings level is insufficient for my login information. It keps returns an error. Thanks for the help.,Account,Medium
98,There is a returns an error when I access the feature. This is a major issue. Sent from my client app. Sorry for the trouble. Hope you're having a good day.,Technical,High
99,Needs checking: My card was flagged last night. I also have a question about contact email. Best regards.,Billing,High
100,Minor: The file is not appearing as expected in the module. Can you check the mobile device logs? Urgent attention needed.,Technical,Low
101,No hurry: The summary from yesterday seems showing tiwce. I checked the card info and it looks okay. Sorry for the trouble.,Billing,Low
102,Maybe later: My account was not going through last night. I also have a question about contact email. Thanks for the help.,Billing,Low
103,BLOCKER: My transfer was flagged last night. I also have a question about profile data. Best regards.,Billing,Critical
104,Important: The verification settings are showing inconsistencies. I need to set up my contact email. Need this fixed soon.,Account,High
105,No hurry: The plan process did not behave as expected and showing twice. Best regards.,Billing,Low
106,By Monday: Why is there a discrepancy in the latest charge? It says ref 99 but the amount is different. Production is impacted. Sorry for the trouble. Best regards.,Billing,High
107,The system is not loading properly. I was trying to proceed but it just hangs. Sent from my iPhone.,Technical,Low
108,ASAP: Why is there a discrepancy in the latest charge? It says TXN-101 but the amount is different. It's a critical blocker.,Billing,High
109,I am having trouble with keys when I try to view logs. Hope you're having a good day. Hope you're having a good day. Sorry for the trouble.,Account,Critical
110,"My profile data is showing as inactive. Also, the navigation layer feels not responding correctly. Best regards. Sent from my iPhone. Sorry for the trouble.",Account,Medium
111,Important: I was expecting a receipt but I received a notification about stuck. Urgent attention needed.,Billing,High
112,"Minor: I noticed the navigation layer is not loading properyl on client app. Also, and the invoice is wrong. Thanks for the help.",Technical,Low
113,Routine: The sign in level is insufficient for my contact email. It keeps fails to complete. Thanks for the help.,Account,Medium
114,By Monday: I was expecting a confirmation but I received a notification about stuck. It's a critical blocker.,Billing,High
115,No hurry: My card was stuck last night. I also have a question about login information. Sorry for the trouble.,Billing,Low
116,"My login information is locked. Also, the settings area feels not loading properly. Thanks for the help.",Account,Medium
117,ASAP: The verification settings are degraded. I need to set up my profile data. Urgent attention needed.,Account,High
118,The item is not appearing as expected in the module. Can you check the web browser logs? Need this fixed soon. Thanks for the help. Sorry for the trouble.,Technical,High
119,By Monday: I am having trouble with keys when I try to update profile. Hope you're having a good day.,Account,High
120,Urgent: I was expecting a PDF file but I received a notification about stuuck. Need this fixed soon.,Billing,High
121,The SAML settings are degraded. I need to set up my security settings. Production is impacted. Sorry for the trouble. Sent from my iPhone.,Account,Low
122,I was expecting a PDF file but I received a notification about denied. Need this fixed soon.,Billing,Low
123,IMMEDIATELY: There is a glitches when I access the feature. This is very annoying. Sent from my client app.,Technical,Critical
124,Query: The item is not appearing as expected in the portal. Can you check the desktop logs? It's a critical blocker.,Technical,Medium
125,My card was not goiing through last night. I also have a question about login information. Best regards. Sorry for the trouble. Sent from my iPhone.,Billing,High
126,HELP FAST: There is a returns an error when I submit. This is frustrating. Sent from my iOS.,Technical,Critical
127,Folllow up: The item is not appearing as expected in the system. Can you check the web browser logs? Urgent attention needed.,Technical,Medium
128,Important: The plan process did not behave as expected and higher than expected. Hope you're having a good day. Thanks for the help. Hope you're having a good day.,Billing,High
129,I am having trouble with keys when I try to change settings. Sent from my iPhone.,Account,Medium
130,Suggestion: How do I modify the alert system? I am not seeing any updates. Production is impacted.,Account,Low
131,Urgent: The portal is not responding correctly. I was trying to proceed but it just glitches. Thanks for the help.,Technical,High
132,FYI: There is a fails to complete when I upload data. This is a major issue. Sent from my desktop. Hope you're having a good day. Sent from my iPhone.,Technical,Low
133,The dashboard is degraded. I was trying to sync but it just returns an error. Sorry for the trouble.,Technical,Medium
134,Getting a status code 500 in the side section. This happened after yesterday. Production is impacted. Sent from my iPhone. Best regards.,Technical,Critical
135,My account was not going through last night. I also have a question abut security settings. Sorry for the trouble.,Billing,Low
136,Routine: I am having trouble with login when I try to update profile. Sorry for the trouble.,Account,Medium
137,"Important: My contact email is showing as inactive. Also, the profile panel feels not loading properly. Sorry for the trouble.",Account,High
138,FYI: The MFA settings are acting strange. I need to modify my profile data. Need this fixed soon. Sent from my iPhone. Hope you're having a good day.,Account,Low
139,There is a stops working when I proceed. This is preventing progress. Sent from my web browser.,Technical,Critical
140,Routine: The plan process did not behave as expected and unusually high. Best regards.,Billing,Medium
141,HELP FAST: Why is there a discrepancy in the summary? It says order #55 but the amount is different. Production is impacted.,Billing,Critical
142,"My contact email is under review. Als,o the navigation layer feels behaving unexpectedly. Best regards.",Account,High
143,IMMEDIATELY: How do I reset the SMS system? I am not seeing any updates. This is blocking my work.,Account,Critical
144,IMMEDIATELY: How do I check the alert system? I am not seeing any updates. Production is impacted. Hope you're having a good day. Sent from my iPhone.,Account,Critical
145,NOW: Why is there a discrepancy in the summary? It says ref 99 but the amount is different. Urgent attention needed.,Billing,Critical
146,ASAP: Why is there a discrepancy in the latest charge? It says INV-202 but the amount is different. Production is impacted. Best regards. Hope you're having a good day.,Billing,High
147,"HELP FAST: My contact email is under review. Also, the settings area feels degraded. Sorry for the trouble.",Account,Critical
148,Why is there a discrepancy in the summary? It says TXN-101 but the amount is different. Production is impacted.,Billing,Medium
149,Urgent: Getting a handshake failure in the profile panel. This happened after the last update. This is blocking my work.,Technical,High
150,IMMEDIATELY: The view logs level is insufficient for my login information. It keeps returns an error. Sorry for the trouble.,Account,Critical
151,The view logs level is insufficient for my contact email. It keeps hangs. Thanks for the help.,Account,High
152,"IMMEDIATELY: My profile data is showing as inactive. lso, the profile panel feels degraded. Sent from my iPhone. Best regards. Hope you're having a good day.",Account,Critical
153,URGENT: Getting a status code 500 in the profile panel. This happened after the weekend. It's a critical blocker. Sent from my iPhone. Sorry for the trouble.,Technical,Critical
154,By Monday: How do I modify the SMS system? I am not seeing any updates. It's a critical blocker.,Account,High
155,Important: Why is there a discrepancy in the statement? It says order #55 but the amount is different. It's a critical blocker.,Billing,High
156,Urgent: The system is degraded. I was trying to sync but it just hangs. Sent from my iPhone.,Technical,High
157,The auth settings are showing inconsistencies. I need to review my login information. Urgent attention needed.,Account,Medium
158,I am having trouble with keys when I try to update profile. Hope you're having a good day.,Account,Low
159,The feature process did not behave as expected and incorrect. Hope you're having a good day.,Billing,Medium
160,"My contact email is under review. Also, the main view feels not responding correctly. Thanks for the help. Sent from my iPhone. Hope you're having a good day.",Account,Critical
161,Important: My transfer was not going through last night. I also have a question about profile data. Best regards. Sorry for the trouble. Hope you're having a good day.,Billing,High
162,"Maybe later: I noticed the settings area is acting strange on desktop. Also, and the invoice is wrong. Sent from my iPhone.",Technical,Low
163,Urgent: The verification settings are not responding correctly. I need to check my security settings. This is blocking my work. Hope you're having a good day. Best regards.,Account,High
164,I was expecting a confirmation but I received a notification about stuck. Production is impacted.,Billing,High
165,Query: There is a hangs when I submit. This is preventing progress. Sent from my desktop. Sent from my iPhone. Hope you're having a good day.,Technical,Medium
166,Urgent: My account was flagged last night. I also have a question about login information. Best regards. Sent from my iPhone. Thanks for the help.,Billing,High
167,Follow up: There is a returns an error when I sync. This is very annoying. Sent from my Android.,Technical,Medium
168,IMMEDIATELY: The invoice from my last login seems incorrect. I checked the profile and it looks okay. Best regards.,Billing,Critical
169,The verification settings are behaving unexpectedly. I need to modify my security settings. It's a critical blocker.,Account,Low
170,Maybe later: The SAML settings are behaving unexpectedly. I need to reset my profile data. Urgent attention needed. Hope you're having a good day. Best regards.,Account,Low
171,Follow up: The interface is not loading properly. I was trying to access the feature but it just returns an error. Best regards.,Technical,Medium
172,The update profile level is insufficient for my security settings. It keeps returns an error. Sorry for the trouble.,Account,Medium
173,Question: How do I set up the email system? I am not seeing any updates. It's a critical blocker.,Account,Medium
174,Query: The verification settings are showing inconsistencies. I need to modify my contact email. This is blocking my work. Sorry for the trouble. Thanks for the help.,Account,Medium
175,The feature process did not behave as expected and not what I agreed to. Thanks for the help.,Billing,Low
176,By Monday: I was expecting a receipt but I received a notification about flagged. It's a critical blocker. Thanks for the help. Hope you're having a good day.,Billing,High
177,Update: The change settings level is insufficient for my contact eemail. It keeps glitches. Sorry for the trouble.,Account,Medium
178,BLOCKER: The verification settings are showing inconsistencies. I need to review my login information. This is blocking my work.,Account,Critical
179,No hurry: I was expecting a PDF file but I received a notification about not going through. Production is impacted. Best regards. Thanks for the help.,Billing,Low
180,ASAP: The sign in level is insufficient for my contact email. It keeps hangs. Sorry for the trouble.,Account,High
181,Why is there a discrepancy in the invoice? It says order #55 but the amount is different. This is blocking my work. Hope you're having a good day. Sent from my iPhone.,Billing,Critical
182,I am having trouble with authentication info when I try to view logs. Hope you're having a good day. Hope you're having a good day. Sent from my iPhone.,Account,Low
183,Urgent: I am having trouble with login when I try to sign in. Hope you're having a good day. Hope you're having a good day. Sorry for the trouble.,Account,High
184,The add-on process did not behave as expected and incorrect. Hope you're having a good day.,Billing,Critical
185,Update: The view logs level is insufficient for my profile data. It keeps hangs. Sent from my iPhone.,Account,Medium
186,Query: The sign in level is insufficient for my contact email. It keeps returns an error. Sorry for the trouble.,Account,Medium
187,NOW: The invoice from yesterday seems not what I agreed to. I checked the card info and it looks okay. Sent from my iPhone. Hope you're having a good day. Sent from my iPhone.,Billing,Critical
188,My card was not going through last night. I also have a question about security settings. Thanks for the help.,Billing,Medium
189,I am having trouble with authentication info when I try to view logs. Best regards.,Account,Low
190,Needs checking: My transfer was stuck last night. I also have a question about login information. Hope you're having a good day.,Billing,High
191,The entry is not appearing as expected in the system. Can you check the web browser logs? Urgent attention needed. Sent from my iPhone. Sorry for the trouble.,Technical,Medium
192,"IMMEDIATELY: My security settings is showing as inactive. Also, the main view feels not loading properly. Sorry for the trouble. Thanks for the help. Sorry for the trouble.",Account,Critical
193,The update profile level is insufficient for my login information. It keeps stops working. Sent from my iPhone. Hope you're having a good day. Sorry for the trouble.,Account,High
194,Question: I was expecting a email notification but I received a notification about stuck. This is blocking my work. Sorry for the trouble. Hope you're having a good day.,Billing,Medium
195,Urgent: How do I set up the message system? I am not seeing any updates. This is blocking my work. Sorry for the trouble. Thanks for the help.,Account,High
196,IMMEDIATELY: Getting a status code 500 in the side section. This happened after this morning. This is blocking my work.,Technical,Critical
197,The SAML settings are acting strange. I need to mmodify my profile data. Urgent attention needed.,Account,Low
198,Minor: I am having trouble with authentication info when I try to view logs. Thanks for the help. Sent from my iPhone. Hope you're having a good day.,Account,Low
199,I am having trouble with authentication info when I try to update profile. Best regards. Sorry for the trouble. Thanks for the help.,Account,Critical
200,My PayPal was stuck last night. I also have a question about security settings. Thanks for the help.,Billing,Medium
201,There is a glitches when I upload data. This is preventing progress. Sent from my desktop.,Technical,Critical
202,URGENT: The token is not appearing as expected in the gateway. Can you check the client app logs? It's a critical blocker.,Technical,Critical
203,The statement from the last update seems showing twice. I checked the card info and it looks okay. Sent from my iPhone.,Billing,High
204,"I noticed the main view is not responding correctly on mobile device. Also, and the invoice is wrong. Sent from my iPhone.",Technical,High
205,By Monday: Why is there a discrepancy in the invoice? It says INV-202 but the aamount is different. Production is impacted. Sorry for the trouble. Hope you're having a good day.,Billing,High
206,"Follow up: I noticed the settings area is not responding correctly on iOS. Also, and the invoice is wrong. Thanks for the help.",Technical,Medium
207,"Minor: I noticed the side section is not responding correctly on iOS. Also, also my last payment failed. Best regards.",Technical,Low
208,Needs checking: There is a fails to complete when I submit. This is preventing progress. Sent from my web browser. Sent from my iPhone. Hope you're having a good day.,Technical,High
209,Getting a timeout in the profile panel. This happened after the last update. Need this fixed soon.,Technical,High
210,"By Monday: My login information is not accessible. Also, the settings area feels acting strange. Best regards.",Account,High
211,IMMEDIATELY: How do I set up the email system? I am not seeing any updates. Need this fixed soon.,Account,Critical
212,"I noticed the settings area is behaving unexpectedly on web browser. Also, and check my refund. Hope you're having a good day.",Technical,Critical
213,Suggestion: There is a fails to complete when I access the feature. This is very annoying. Sent from my mobile device.,Technical,Low
214,Why is there a discrepancy in the invoice? It says ref 99 but the amount is different. It's a critical blocker.,Billing,Low
215,BLOCKER: Why is there a discrepancy in the summary? It says INV-202 but the amount is different. It's a critical blocker.,Billing,Critical
216,"Suggestion: My security settings is not accessible. Also, the settings area feels not loading properly. Best regards.",Account,Low
217,The sign in leevl is insufficient for my contact email. It keeps stops working. Thanks for the help.,Account,Critical
218,The dashboard is degraded. I was trying to submit but it just glitches. Sorry for the trouble.,Technical,Low
219,Maybe later: The system is not responding correctly. I was trying to sync but it just glitches. Hope you're having a good day.,Technical,Low
220,"Follow up: I noticed the settings area is not responding correctly on iOS. Also, also my last payment failed. Sorry for the trouble. Thanks for the help. Hope you're having a good day.",Technical,Medium
221,By Monday: My transfer was denied last night. I also have a question about security settings. Sent from my iPhone. Thanks for the help. Best regards.,Billing,High
222,The plan process did not behave as expected and incorrect. Best regards.,Billing,Critical
223,There is a returns an error when I proceed. This is frustrating. Sent from my client app.,Technical,Low
224,Suggestion: The view logs level is insufficient for my security settings. It keeps returns an error. Sent from my iPhone.,Account,Low
225,Routine: Why is there a discrepancy in the statement? It says order #55 but the amount is different. It's a criticcal blocker. Hope you're having a good day. Sent from my iPhone.,Billing,Medium
226,No hurry: Getting a generic error in the side section. This happened after the last update. It's a critical blocker.,Technical,Low
227,"URGENT: My login information is under review. Also, the profile panel feels behaving unexpectedly. Thanks for the help.",Account,Critical
228,"Update: My lgoin information is not accessible. Also, the profile panel feels showing inconsistencies. Thanks for the help.",Account,Medium
229,The update profile level is insufficient for my profile data. It keeps glitches. Thankss for the help. Hope you're having a good day. Sent from my iPhone.,Account,High
230,Why is there a discrepancy in the latest charge? It says INV-202 but the amount is different. Need this fixed soon.,Billing,Medium
231,"I noticed the side section is showing inconsistencies on iOS. Also, but I have a billing question. Sorry for the trouble. Sent from my iPhone. Hope you're having a good day.",Technical,High
232,I am having trouble with authentication info when I try to update profile. Hope you're having a good day.,Account,Low
233,How do I set up the message system? I am not seeing any updates. Need this fixed soon.,Account,Medium
234,The portal is showing inconsistencies. I was trying to upload data but it just returns an error. Sorry for the trouble. Thanks for the help. Sent from my iPhone.,Technical,High
235,Maybe later: The latest charge from my last login seems not what I agreed to. I checked the card info and it looks okay. Hope you're having a good day.,Billing,Low
236,The verification settings are behaving unexpectedly. I need to review my contact email. It's a critical blocker.,Account,High
237,The plan process did not behave as expected and not what I agreed to. Soryr for the trouble. Sorry for the trouble. Best regards.,Billing,Medium
238,Why is there a discrepancy in the summary? It says ref 99 but the amount is different. Need this fixed soon.,Billing,Medium
239,Question: My PayPal was denied last night. I also have a question about profile data. Thanks for the help. Best regards. Thanks for the help.,Billing,Medium
240,Maybe later: Getting a generic error in the settings area. This happened after the weekend. This is blocking my work.,Technical,Low
241,Getting a unexpected response in the main view. This happened after my last login. This is blocking my work.,Technical,Medium
242,"NOW: I noticed the settings area is not responding correctly on desktop. Also, also my last payment failed. Hope you're having a good day.",Technical,Critical
243,The auth settings are degraded. I need to reset my profile data. This is blocking my work. Hope you're having a good day. Sent from my iPhone.,Account,Low
244,Getting a generic error in the main view. This happened after my last login. Need this fixed soon.,Technical,High
245,"By Monday: My login information is locked. Also, the main view feels not loading properly. Thanks for the help.",Account,High
246,Suggestion: There is a glitches when I submit. This is frustrating. Sent from my web browser. Hope you're having a good day. Best regards.,Technical,Low
247,Suggestion: How do I check the alert system? I am not seeing any updates. Production is impacted. Sorry for the trouble. Thanks for the help.,Account,Low
248,Update: The file is not appearing as expected in the portal. Can you check the web browser logs? Production is impacted.,Technical,Medium
249,Needs checking: My card was flagged last night. I also have a question about contact email. Sorry for the trouble. Best regards. Hope you're having a good day.,Billing,High
250,The invoice from this morning seems showing twice. I checked the card info and it looks okay. Sorry for the trouble.,Billing,Medium
251,URGENT: The view logs level is insufficient for my security settings. It keeps returns an error. Sorry for the trouble.,Account,Critical
252,The update profile leevl is insufficient for my login information. It keeps hangs. Sorry for the trouble. Best regards. Sent from my iPhone.,Account,Low
253,"No hurry: I noticed the side section is behaving unexpectedly on Android. Also, but I have a billing question. Sent from my iPhone.",Technical,Low
254,Query: The dashboard is showing inconsistencies. I was trying to sync but it just returns an error. Sorry for the trouble. Best regards. Thanks for the help.,Technical,Medium
255,The subscription process did not behave as expected and higher than expected. Best regards.,Billing,Low
256,"I noticed the main view is not loading properly on client app. Also, and check my refund. Best regards. Hope you're having a good day. Thanks for the help.",Technical,Medium
257,No hurry: The auth settings are acting strange. I need to review my contact email. Production is impacted. Sent from my iPhone. Best regards.,Account,Low
258,"My login information is not accessible. Also, the settings area feels showing inconsistencies. Best regards. Sorry for the trouble. Sent from my iPhone.",Account,High
259,Why is there a discrepancy in the summary? It says INV-202 but the amount is different. It's a critical blocker.,Billing,Critical
260,URGENT: The statement from this morning seems showing twice. I checked the card info and it looks okay. Hope you're having a good day.,Billing,Critical
261,"Query: I noticed the settings area is showing inconsistencise on client app. Also, but I have a billing question. Hope you're having a good day. Best regards. Sorry for the trouble.",Technical,Medium
262,Needs checking: There is a hangs when I access the feature. This is a major issue. Sent from my Android.,Technical,High
263,ASAP: The sign in level is insufficient for my profile data. It keeps glitches. Sorry for the trouble.,Account,High
264,My transfer was flagged last night. I also have a questin about security settings. Thanks for the help. Hope you're having a good day. Sorry for the trouble.,Billing,High
265,Routine: My transfer was flagged last night. I also have a question about login information. Sent from my iPhone. Hope you're having a good day. Sorry for the trouble.,Billing,Medium
266,"I noticed the navigation layer is not loading properly on client app. Also, and the invoice is wrong. Thanks for the help.",Technical,High
267,Follow up: There is a returns an error when I proceed. This is frustrating. Sent from my mobile devie. Sorry for the trouble. Thanks for the help.,Technical,Medium
268,"ASAP: My security settings is under review. Also, the main view feels behaving unexpectedly. Hope you're having a good day.",Account,High
269,Maybe later: How do I review the SMS system? I am not seeing any updates. Need this fixed soon.,Account,Low
270,The add-on process did not behave as expected and higher than expected. Sorry for the trouble.,Billing,High
271,"I noticed the side section is acting strange on iOS. Also, but I have a billing question. Hope you're having a good day.",Technical,High
272,"I noticed the side section is degraded on web browser. Also, but I have a billing question. Sent from my iPhone.",Technical,Medium
273,The auth settings are not responding correctly. I need to reset my contact email. Urgent attention needed.,Account,High
274,The token is not appearing as expected in the interface. Can you check the Android logs? Need this fixed soon. Sorry for the trouble. Thanks for the help.,Technical,Low
